Code,Disease
72202,X-ray exam
72202,exam sacroiliac
72202,sacroiliac joints
72202,joints sacroiliac exam X-ray
72220,X-ray exam of tailbone
72220,X-ray exam
72220,exam of
72220,of tailbone
72220,of exam tailbone X-ray
73000,X-ray exam of collar bone
73000,X-ray exam
73000,exam of
73000,of collar
73000,collar bone
73000,collar exam X-ray bone of
73010,X-ray exam of shoulder blade
73010,X-ray exam
73010,exam of
73010,of shoulder
73010,shoulder blade
73010,X-ray blade shoulder exam of
73020,X-ray exam of shoulder
73020,X-ray exam
73020,exam of
73020,of shoulder
73020,exam of shoulder X-ray
73030,X-ray exam of shoulder
73030,X-ray exam
73030,exam of
73030,of shoulder
73030,of X-ray shoulder exam
73050,X-ray exam of shoulders
73050,X-ray exam
73050,exam of
73050,of shoulders
73050,X-ray shoulders exam of
73060,X-ray exam of humerus
73060,X-ray exam
73060,exam of
73060,of humerus
73060,of exam humerus X-ray
73070,X-ray exam of elbow
73070,X-ray exam
73070,exam of
73070,of elbow
73070,X-ray elbow of exam
73080,X-ray exam of elbow
73080,X-ray exam
73080,exam of
73080,of elbow
73080,elbow exam X-ray of
73090,X-ray exam of forearm
73090,X-ray exam
73090,exam of
73090,of forearm
73090,X-ray exam forearm of
73092,X-ray exam of arm infant
73092,X-ray exam
73092,exam of
73092,of arm
73092,arm infant
73092,exam of arm X-ray infant
73100,X-ray exam of wrist
73100,X-ray exam
73100,exam of
73100,of wrist
73100,of wrist exam X-ray
73110,X-ray exam of wrist
73110,X-ray exam
73110,exam of
73110,of wrist
73110,exam X-ray wrist of
73120,X-ray exam of hand
73120,X-ray exam
73120,exam of
73120,of hand
73120,hand exam X-ray of
73130,X-ray exam of hand
73130,X-ray exam
73130,exam of
73130,of hand
73130,of exam hand X-ray
73140,X-ray exam of finger(s)
73140,X-ray exam
73140,exam of
73140,of finger(s)
73140,X-ray finger(s) of exam
73200,Ct upper extremity w/o dye
73200,Ct upper
73200,upper extremity
73200,extremity w/o
73200,w/o dye
73200,w/o Ct upper dye extremity
73201,Ct upper extremity w/dye
73201,Ct upper
73201,upper extremity
73201,extremity w/dye
73201,Ct w/dye upper extremity
73202,Ct uppr extremity w/ow/dye
73202,Ct uppr
73202,uppr extremity
73202,extremity w/ow/dye
73202,Ct extremity uppr w/ow/dye
73206,Ct angio upr extrm w/ow/dye
73206,Ct angio
73206,angio upr
73206,upr extrm
73206,extrm w/ow/dye
73206,angio extrm upr w/ow/dye Ct
73218,Mri upper extremity w/o dye
73218,Mri upper
73218,upper extremity
73218,extremity w/o
73218,w/o dye
73218,Mri w/o dye upper extremity
73219,Mri upper extremity w/dye
73219,Mri upper
73219,upper extremity
73219,extremity w/dye
73219,extremity w/dye Mri upper
73220,Mri uppr extremity w/ow/dye
73220,Mri uppr
73220,uppr extremity
73220,extremity w/ow/dye
73220,uppr extremity w/ow/dye Mri
73221,Mri joint upr extrem w/o dye
73221,Mri joint
73221,joint upr
73221,upr extrem
73221,extrem w/o
73221,w/o dye
73221,dye joint upr Mri extrem w/o
73222,Mri joint upr extrem w/dye
73222,Mri joint
73222,joint upr
73222,upr extrem
73222,extrem w/dye
73222,extrem joint w/dye upr Mri
73223,Mri joint upr extr w/ow/dye
73223,Mri joint
73223,joint upr
73223,upr extr
73223,extr w/ow/dye
73223,w/ow/dye extr upr Mri joint
73225,Mr angio upr extr w/ow/dye
73225,Mr angio
73225,angio upr
73225,upr extr
73225,extr w/ow/dye
73225,Mr w/ow/dye extr upr angio
73501,X-ray exam hip uni 1 view
73501,X-ray exam
73501,exam hip
73501,hip uni
73501,uni 1
73501,1 view
73501,exam uni hip view X-ray 1
73502,X-ray exam hip uni 2-3 views
73502,X-ray exam
73502,exam hip
73502,hip uni
73502,uni 2-3
73502,2-3 views
73502,exam hip uni 2-3 views X-ray
73503,X-ray exam hip uni 4/> views
73503,X-ray exam
73503,exam hip
73503,hip uni
73503,uni 4/>
73503,4/> views
73503,exam X-ray 4/> uni hip views
73521,X-ray exam hips bi 2 views
73521,X-ray exam
73521,exam hips
73521,hips bi
73521,bi 2
73521,2 views
73521,X-ray 2 views bi hips exam
73522,X-ray exam hips bi 3-4 views
73522,X-ray exam
73522,exam hips
73522,hips bi
73522,bi 3-4
73522,3-4 views
73522,3-4 X-ray hips exam views bi
73523,X-ray exam hips bi 5/> views
73523,X-ray exam
73523,exam hips
73523,hips bi
73523,bi 5/>
73523,5/> views
73523,bi exam 5/> views X-ray hips
73551,X-ray exam of femur 1
73551,X-ray exam
73551,exam of
73551,of femur
73551,femur 1
73551,1 femur exam X-ray of
73552,X-ray exam of femur 2/>
73552,X-ray exam
73552,exam of
73552,of femur
73552,femur 2/>
73552,of femur 2/> X-ray exam
73560,X-ray exam of knee 1 or 2
73560,X-ray exam
73560,exam of
73560,of knee
73560,knee 1
73560,1 or
73560,or 2
73560,or X-ray 2 of knee 1 exam
73562,X-ray exam of knee 3
73562,X-ray exam
73562,exam of
73562,of knee
73562,knee 3
73562,3 exam X-ray of knee
73564,X-ray exam knee 4 or more
73564,X-ray exam
73564,exam knee
73564,knee 4
73564,4 or
73564,or more
73564,knee exam 4 or more X-ray
73565,X-ray exam of knees
73565,X-ray exam
73565,exam of
73565,of knees
73565,of X-ray knees exam
73590,X-ray exam of lower leg
73590,X-ray exam
73590,exam of
73590,of lower
73590,lower leg
73590,of lower X-ray leg exam
73592,X-ray exam of leg infant
73592,X-ray exam
73592,exam of
73592,of leg
73592,leg infant
73592,X-ray infant exam leg of
73600,X-ray exam of ankle
73600,X-ray exam
73600,exam of
73600,of ankle
73600,of ankle exam X-ray
73610,X-ray exam of ankle
73610,X-ray exam
73610,exam of
73610,of ankle
73610,ankle of exam X-ray
73620,X-ray exam of foot
73620,X-ray exam
73620,exam of
73620,of foot
73620,foot X-ray of exam
73630,X-ray exam of foot
73630,X-ray exam
73630,exam of
73630,of foot
73630,of foot exam X-ray
73650,X-ray exam of heel
73650,X-ray exam
73650,exam of
73650,of heel
73650,exam of heel X-ray
73660,X-ray exam of toe(s)
73660,X-ray exam
73660,exam of
73660,of toe(s)
73660,X-ray of toe(s) exam
73700,Ct lower extremity w/o dye
73700,Ct lower
73700,lower extremity
73700,extremity w/o
73700,w/o dye
73700,Ct extremity lower dye w/o
73701,Ct lower extremity w/dye
73701,Ct lower
73701,lower extremity
73701,extremity w/dye
73701,w/dye extremity lower Ct
73702,Ct lwr extremity w/ow/dye
73702,Ct lwr
73702,lwr extremity
73702,extremity w/ow/dye
73702,extremity lwr w/ow/dye Ct
73706,Ct angio lwr extr w/ow/dye
73706,Ct angio
73706,angio lwr
73706,lwr extr
73706,extr w/ow/dye
73706,angio extr w/ow/dye Ct lwr
73718,Mri lower extremity w/o dye
73718,Mri lower
73718,lower extremity
73718,extremity w/o
73718,w/o dye
73718,extremity dye lower Mri w/o
73719,Mri lower extremity w/dye
73719,Mri lower
73719,lower extremity
73719,extremity w/dye
73719,extremity w/dye lower Mri
73720,Mri lwr extremity w/ow/dye
73720,Mri lwr
73720,lwr extremity
73720,extremity w/ow/dye
73720,w/ow/dye lwr extremity Mri
73721,Mri jnt of lwr extre w/o dye
73721,Mri jnt
73721,jnt of
73721,of lwr
73721,lwr extre
73721,extre w/o
73721,w/o dye
73721,dye jnt of extre lwr Mri w/o
73722,Mri joint of lwr extr w/dye
73722,Mri joint
73722,joint of
73722,of lwr
73722,lwr extr
73722,extr w/dye
73722,lwr extr Mri joint of w/dye
73723,Mri joint lwr extr w/ow/dye
73723,Mri joint
73723,joint lwr
73723,lwr extr
73723,extr w/ow/dye
73723,Mri lwr extr w/ow/dye joint
73725,Mr ang lwr ext w or w/o dye
73725,Mr ang
73725,ang lwr
73725,lwr ext
73725,ext w
73725,w or
73725,or w/o
73725,w/o dye
73725,w ext lwr or Mr ang dye w/o
74018,X-ray exam abdomen 1 view
74018,X-ray exam
74018,exam abdomen
74018,abdomen 1
74018,1 view
74018,1 abdomen exam X-ray view
74019,X-ray exam abdomen 2 views
74019,X-ray exam
74019,exam abdomen
74019,abdomen 2
74019,2 views
74019,X-ray exam views abdomen 2
74021,X-ray exam abdomen 3 views
74021,X-ray exam
74021,exam abdomen
74021,abdomen 3
74021,3 views
74021,3 views X-ray abdomen exam
74022,X-ray exam complete abdomen
74022,X-ray exam
74022,exam complete
74022,complete abdomen
74022,exam X-ray complete abdomen
74150,Ct abdomen w/o dye
74150,Ct abdomen
74150,abdomen w/o
74150,w/o dye
74150,abdomen w/o Ct dye
74160,Ct abdomen w/dye
74160,Ct abdomen
74160,abdomen w/dye
74160,abdomen w/dye Ct
74170,Ct abdomen w/o  w/dye
74170,Ct abdomen
74170,abdomen w/o
74170,w/o w/dye
74170,Ct w/dye abdomen w/o
74174,Ct angio abdpelv w/ow/dye
74174,Ct angio
74174,angio abdpelv
74174,abdpelv w/ow/dye
74174,w/ow/dye Ct angio abdpelv
74175,Ct angio abdom w/o  w/dye
74175,Ct angio
74175,angio abdom
74175,abdom w/o
74175,w/o w/dye
74175,w/dye Ct w/o abdom angio
74176,Ct abd  pelvis
74176,Ct abd
74176,abd pelvis
74176,pelvis Ct abd
74177,Ct abd  pelv w/contrast
74177,Ct abd
74177,abd pelv
74177,pelv w/contrast
74177,Ct pelv abd w/contrast
74178,Ct abd  pelv 1/>regns
74178,Ct abd
74178,abd pelv
74178,pelv 1/>regns
74178,pelv Ct 1/>regns abd
74181,Mri abdomen w/o dye
74181,Mri abdomen
74181,abdomen w/o
74181,w/o dye
74181,dye Mri w/o abdomen
74182,Mri abdomen w/dye
74182,Mri abdomen
74182,abdomen w/dye
74182,Mri w/dye abdomen
74183,Mri abdomen w/o  w/dye
74183,Mri abdomen
74183,abdomen w/o
74183,w/o w/dye
74183,Mri abdomen w/o w/dye
74185,Mri angio abdom w orw/o dye
74185,Mri angio
74185,angio abdom
74185,abdom w
74185,w orw/o
74185,orw/o dye
74185,abdom dye w angio Mri orw/o
74210,X-ray xm phrnx/crv esoph c
74210,X-ray xm
74210,xm phrnx/crv
74210,phrnx/crv esoph
74210,esoph c
74210,X-ray esoph xm c phrnx/crv
74220,X-ray xm esophagus 1cntrst
74220,X-ray xm
74220,xm esophagus
74220,esophagus 1cntrst
74220,esophagus xm 1cntrst X-ray
74221,X-ray xm esophagus 2cntrst
74221,X-ray xm
74221,xm esophagus
74221,esophagus 2cntrst
74221,xm X-ray 2cntrst esophagus
74230,X-ray xm swlng funcj c
74230,X-ray xm
74230,xm swlng
74230,swlng funcj
74230,funcj c
74230,X-ray xm funcj c swlng
74240,X-ray xm upr gi trc 1cntrst
74240,X-ray xm
74240,xm upr
74240,upr gi
74240,gi trc
74240,trc 1cntrst
74240,upr X-ray 1cntrst xm gi trc
74246,X-ray xm upr gi trc 2cntrst
74246,X-ray xm
74246,xm upr
74246,upr gi
74246,gi trc
74246,trc 2cntrst
74246,2cntrst gi X-ray trc xm upr
74248,X-ray sm int f-thru std
74248,X-ray sm
74248,sm int
74248,int f-thru
74248,f-thru std
74248,int X-ray std sm f-thru
74250,X-ray xm sm int 1cntrst std
74250,X-ray xm
74250,xm sm
74250,sm int
74250,int 1cntrst
74250,1cntrst std
74250,sm 1cntrst int X-ray xm std
74251,X-ray xm sm int 2cntrst std
74251,X-ray xm
74251,xm sm
74251,sm int
74251,int 2cntrst
74251,2cntrst std
74251,int 2cntrst X-ray sm std xm
74270,X-ray xm colon 1cntrst std
74270,X-ray xm
74270,xm colon
74270,colon 1cntrst
74270,1cntrst std
74270,std colon X-ray 1cntrst xm
74280,X-ray xm colon 2cntrst std
74280,X-ray xm
74280,xm colon
74280,colon 2cntrst
74280,2cntrst std
74280,2cntrst colon X-ray xm std
74261,Ct colonography dx
74261,Ct colonography
74261,colonography dx
74262,Ct colonography dx w/dye
74262,Ct colonography
74262,colonography dx
74262,dx w/dye
74262,colonography dx w/dye Ct
74290,Contrast x-ray gallbladder
74290,Contrast x-ray
74290,x-ray gallbladder
74290,gallbladder x-ray Contrast
74710,X-ray measurement of pelvis
74710,X-ray measurement
74710,measurement of
74710,of pelvis
74710,X-ray measurement pelvis of
74712,Mri fetal sngl/1st gestation
74712,Mri fetal
74712,fetal sngl/1st
74712,sngl/1st gestation
74712,fetal gestation Mri sngl/1st
75557,Cardiac MRI for morph
75557,Cardiac MRI
75557,MRI for
75557,for morph
75557,MRI Cardiac for morph
75559,Cardiac MRI w/stress img
75559,Cardiac MRI
75559,MRI w/stress
75559,w/stress img
75559,MRI w/stress Cardiac img
75561,Cardiac MRI for morph w/dye
75561,Cardiac MRI
75561,MRI for
75561,for morph
75561,morph w/dye
75561,MRI morph Cardiac w/dye for
75563,Card MRI w/stress img  dye
75563,Card MRI
75563,MRI w/stress
75563,w/stress img
75563,img dye
75563,MRI dye w/stress img Card
75565,Card MRI veloc flow mapping
75565,Card MRI
75565,MRI veloc
75565,veloc flow
75565,flow mapping
75565,veloc flow MRI mapping Card
75571,Ct hrt w/o dye w/ca test
75571,Ct hrt
75571,hrt w/o
75571,w/o dye
75571,dye w/ca
75571,w/ca test
75571,w/ca test Ct hrt w/o dye
75572,Ct hrt w/3d image
75572,Ct hrt
75572,hrt w/3d
75572,w/3d image
75572,w/3d Ct hrt image
75573,Ct hrt w/3d image congen
75573,Ct hrt
75573,hrt w/3d
75573,w/3d image
75573,image congen
75573,hrt w/3d Ct congen image
75574,Ct angio hrt w/3d image
75574,Ct angio
75574,angio hrt
75574,hrt w/3d
75574,w/3d image
75574,w/3d Ct hrt angio image
75635,Ct angio abdominal arteries
75635,Ct angio
75635,angio abdominal
75635,abdominal arteries
75635,arteries angio abdominal Ct
76000,Fluoroscopy <1 hr phys/qhp 
76000,Fluoroscopy <1
76000,<1 hr
76000,hr phys/qhp
76000,Fluoroscopy hr <1 phys/qhp
76010,X-ray nose to rectum
76010,X-ray nose
76010,nose to
76010,to rectum
76010,X-ray to rectum nose
76100,X-ray exam of body section
76100,X-ray exam
76100,exam of
76100,of body
76100,body section
76100,X-ray section of body exam
76120,Cine/video x-rays
76125,Cine/video x-rays add-on
76125,Cine/video x-rays
76125,x-rays add-on
76376,3d render w/o postprocess
76376,3d render
76376,render w/o
76376,w/o postprocess
76376,render postprocess 3d w/o
76377,3d rendering w/postprocess
76377,3d rendering
76377,rendering w/postprocess
76377,w/postprocess rendering 3d
76380,CAT scan follow-up study
76380,CAT scan
76380,scan follow-up
76380,follow-up study
76380,scan CAT study follow-up
76391,Mr elastography
76499,Radiographic procedure
76499,procedure Radiographic
76506,Echo exam of head
76506,Echo exam
76506,exam of
76506,of head
76506,exam head of Echo
76510,Ophth us b  quant a
76510,Ophth us
76510,us b
76510,b quant
76510,quant a
76510,a Ophth us quant b
76511,Ophth us quant a only
76511,Ophth us
76511,us quant
76511,quant a
76511,a only
76511,us a only quant Ophth
76512,Ophth us b w/non-quant a
76512,Ophth us
76512,us b
76512,b w/non-quant
76512,w/non-quant a
76512,us w/non-quant Ophth b a
76513,Oph us dx ant sgm us uni/bi
76513,Oph us
76513,us dx
76513,dx ant
76513,ant sgm
76513,sgm us
76513,us uni/bi
76513,dx Oph uni/bi us us sgm ant
76514,Echo exam of eye thickness
76514,Echo exam
76514,exam of
76514,of eye
76514,eye thickness
76514,exam eye Echo thickness of
76516,Echo exam of eye
76516,Echo exam
76516,exam of
76516,of eye
76516,of eye Echo exam
76519,Echo exam of eye
76519,Echo exam
76519,exam of
76519,of eye
76519,eye exam Echo of
76536,Us exam of head and neck
76536,Us exam
76536,exam of
76536,of head
76536,head and
76536,and neck
76536,Us exam neck and head of
76604,Us exam chest
76604,Us exam
76604,exam chest
76604,chest Us exam
76641,Ultrasound breast complete
76641,Ultrasound breast
76641,breast complete
76641,Ultrasound complete breast
76642,Ultrasound breast limited
76642,Ultrasound breast
76642,breast limited
76642,breast limited Ultrasound
76700,Us exam abdom complete
76700,Us exam
76700,exam abdom
76700,abdom complete
76700,exam complete Us abdom
76705,Echo exam of abdomen
76705,Echo exam
76705,exam of
76705,of abdomen
76705,Echo abdomen of exam
76706,Us abdl aorta screen aaa
76706,Us abdl
76706,abdl aorta
76706,aorta screen
76706,screen aaa
76706,abdl aaa Us aorta screen
76770,Us exam abdo back wall comp
76770,Us exam
76770,exam abdo
76770,abdo back
76770,back wall
76770,wall comp
76770,Us exam comp wall abdo back
76775,Us exam abdo back wall lim
76775,Us exam
76775,exam abdo
76775,abdo back
76775,back wall
76775,wall lim
76775,exam back abdo lim Us wall
76776,Us exam k transpl w/Doppler
76776,Us exam
76776,exam k
76776,k transpl
76776,transpl w/Doppler
76776,w/Doppler Us k transpl exam
76800,Us exam spinal canal
76800,Us exam
76800,exam spinal
76800,spinal canal
76800,exam spinal Us canal
76801,Ob us < 14 wks single fetus
76801,Ob us
76801,us <
76801,< 14
76801,14 wks
76801,wks single
76801,single fetus
76801,Ob < us wks single 14 fetus
76802,Ob us < 14 wks addl fetus
76802,Ob us
76802,us <
76802,< 14
76802,14 wks
76802,wks addl
76802,addl fetus
76802,Ob < addl wks 14 us fetus
76805,Ob us >/= 14 wks sngl fetus
76805,Ob us
76805,us >/=
76805,>/= 14
76805,14 wks
76805,wks sngl
76805,sngl fetus
76805,14 us fetus sngl wks Ob >/=
76810,Ob us >/= 14 wks addl fetus
76810,Ob us
76810,us >/=
76810,>/= 14
76810,14 wks
76810,wks addl
76810,addl fetus
76810,us fetus addl Ob >/= 14 wks
76811,Ob us detailed sngl fetus
76811,Ob us
76811,us detailed
76811,detailed sngl
76811,sngl fetus
76811,sngl us Ob detailed fetus
76812,Ob us detailed addl fetus
76812,Ob us
76812,us detailed
76812,detailed addl
76812,addl fetus
76812,detailed fetus Ob us addl
76815,Ob us limited fetus(s)
76815,Ob us
76815,us limited
76815,limited fetus(s)
76815,Ob fetus(s) us limited
76816,Ob us follow-up per fetus
76816,Ob us
76816,us follow-up
76816,follow-up per
76816,per fetus
76816,fetus follow-up Ob per us
76818,Fetal biophys profile w/nst
76818,Fetal biophys
76818,biophys profile
76818,profile w/nst
76818,profile biophys w/nst Fetal
76819,Fetal biophys profil w/o nst
76819,Fetal biophys
76819,biophys profil
76819,profil w/o
76819,w/o nst
76819,nst w/o profil Fetal biophys
76820,Umbilical artery echo
76820,Umbilical artery
76820,artery echo
76820,echo artery Umbilical
76821,Middle cerebral artery echo
76821,Middle cerebral
76821,cerebral artery
76821,artery echo
76821,Middle artery cerebral echo
76825,Echo exam of fetal heart
76825,Echo exam
76825,exam of
76825,of fetal
76825,fetal heart
76825,Echo of heart exam fetal
76826,Echo exam of fetal heart
76826,Echo exam
76826,exam of
76826,of fetal
76826,fetal heart
76826,exam Echo of fetal heart
76827,Echo exam of fetal heart
76827,Echo exam
76827,exam of
76827,of fetal
76827,fetal heart
76827,fetal heart Echo of exam
76828,Echo exam of fetal heart
76828,Echo exam
76828,exam of
76828,of fetal
76828,fetal heart
76828,heart fetal of Echo exam
76856,Us exam pelvic complete
76856,Us exam
76856,exam pelvic
76856,pelvic complete
76856,Us complete exam pelvic
76857,Us exam pelvic limited
76857,Us exam
76857,exam pelvic
76857,pelvic limited
76857,pelvic Us exam limited
76870,Us exam scrotum
76870,Us exam
76870,exam scrotum
76870,scrotum exam Us
76881,Us compl joint r-t w/img 
76881,Us compl
76881,compl joint
76881,joint r-t
76881,r-t w/img
76881,compl joint w/img r-t Us
76882,US LMTD JT/FCL EVL NVASC XTR
76882,US LMTD
76882,LMTD JT/FCL
76882,JT/FCL EVL
76882,EVL NVASC
76882,NVASC XTR
76882,EVL JT/FCL US LMTD XTR NVASC
76883,Us nrvacc strux 1xtr compre
76883,Us nrvacc
76883,nrvacc strux
76883,strux 1xtr
76883,1xtr compre
76883,Us strux 1xtr nrvacc compre
76885,Us exam infant hips dynamic
76885,Us exam
76885,exam infant
76885,infant hips
76885,hips dynamic
76885,hips exam dynamic Us infant
76886,Us exam infant hips static
76886,Us exam
76886,exam infant
76886,infant hips
76886,hips static
76886,infant exam Us hips static
76977,Us bone density measure
76977,Us bone
76977,bone density
76977,density measure
76977,measure density Us bone
76978,Us trgt dyn mbubb 1st les
76978,Us trgt
76978,trgt dyn
76978,dyn mbubb
76978,mbubb 1st
76978,1st les
76978,les Us dyn 1st mbubb trgt
76979,Us trgt dyn mbubb ea addl
76979,Us trgt
76979,trgt dyn
76979,dyn mbubb
76979,mbubb ea
76979,ea addl
76979,mbubb addl dyn trgt ea Us
76981,Use parenchyma
76981,parenchyma Use
76982,Use 1st target lesion
76982,Use 1st
76982,1st target
76982,target lesion
76982,target Use lesion 1st
76983,Use ea addl target lesion
76983,Use ea
76983,ea addl
76983,addl target
76983,target lesion
76983,ea Use target lesion addl
76999,Echo examination procedure
76999,Echo examination
76999,examination procedure
76999,Echo procedure examination
77046,Mri breast c-unilateral
77046,Mri breast
77046,breast c-unilateral
77047,Mri breast c-bilateral
77047,Mri breast
77047,breast c-bilateral
77047,Mri c-bilateral breast
77048,Mri breast c- w/cad uni
77048,Mri breast
77048,breast c-
77048,c- w/cad
77048,w/cad uni
77048,Mri breast uni w/cad c-
77049,Mri breast c- w/cad bi
77049,Mri breast
77049,breast c-
77049,c- w/cad
77049,w/cad bi
77049,breast w/cad c- Mri bi
77061,Breast tomosynthesis uni
77061,Breast tomosynthesis
77061,tomosynthesis uni
77061,tomosynthesis uni Breast
77062,Breast tomosynthesis bi
77062,Breast tomosynthesis
77062,tomosynthesis bi
77062,Breast bi tomosynthesis
77065,Dx mammo incl cad uni
77065,Dx mammo
77065,mammo incl
77065,incl cad
77065,cad uni
77065,mammo uni incl Dx cad
77066,Dx mammo incl cad bi
77066,Dx mammo
77066,mammo incl
77066,incl cad
77066,cad bi
77066,cad Dx incl bi mammo
77071,X-ray stress view
77071,X-ray stress
77071,stress view
77071,X-ray view stress
77072,X-rays for bone age
77072,X-rays for
77072,for bone
77072,bone age
77073,X-rays bone length studies
77073,X-rays bone
77073,bone length
77073,length studies
77074,X-rays bone survey limited
77074,X-rays bone
77074,bone survey
77074,survey limited
77074,bone survey limited X-rays
77075,X-rays bone survey complete
77075,X-rays bone
77075,bone survey
77075,survey complete
77075,bone survey complete X-rays
77076,X-rays bone survey infant
77076,X-rays bone
77076,bone survey
77076,survey infant
77076,survey infant bone X-rays
77077,Joint survey single view
77077,Joint survey
77077,survey single
77077,single view
77077,survey Joint single view
77078,Ct bone density axial
77078,Ct bone
77078,bone density
77078,density axial
77078,density axial Ct bone
77080,Dxa bone density axial
77080,Dxa bone
77080,bone density
77080,density axial
77080,bone density Dxa axial
77081,Dxa bone density/peripheral
77081,Dxa bone
77081,bone density/peripheral
77081,bone density/peripheral Dxa
77084,Magnetic image bone marrow
77084,Magnetic image
77084,image bone
77084,bone marrow
77084,image Magnetic marrow bone
77085,Dxa bone density study
77085,Dxa bone
77085,bone density
77085,density study
77085,study bone Dxa density
77086,Fracture assessment via dxa
77086,Fracture assessment
77086,assessment via
77086,via dxa
77086,Fracture dxa via assessment
77089,Tbs dxa cal w/ir fx risk
77089,Tbs dxa
77089,dxa cal
77089,cal w/ir
77089,w/ir fx
77089,fx risk
77089,dxa Tbs risk cal w/ir fx
78012,Thyroid uptake measurement 
78012,Thyroid uptake
78012,uptake measurement
78012,Thyroid uptake measurement
78013,Thyroid imaging w/blood flow
78013,Thyroid imaging
78013,imaging w/blood
78013,w/blood flow
78013,Thyroid w/blood flow imaging
78014,Thyroid imaging w/blood flow
78014,Thyroid imaging
78014,imaging w/blood
78014,w/blood flow
78014,w/blood imaging Thyroid flow
78015,Thyroid met imaging
78015,Thyroid met
78015,met imaging
78016,Thyroid met imaging/studies
78016,Thyroid met
78016,met imaging/studies
78016,imaging/studies met Thyroid
78018,Thyroid met imaging body
78018,Thyroid met
78018,met imaging
78018,imaging body
78018,body Thyroid imaging met
78020,Thyroid met uptake
78020,Thyroid met
78020,met uptake
78020,uptake met Thyroid
78070,Parathyroid nuclear imaging
78070,Parathyroid nuclear
78070,nuclear imaging
78070,nuclear imaging Parathyroid
78071,Parathyrd planar w/wo subtrj
78071,Parathyrd planar
78071,planar w/wo
78071,w/wo subtrj
78071,planar subtrj Parathyrd w/wo
78072,Parathyrd planar w/spectct
78072,Parathyrd planar
78072,planar w/spectct
78072,planar w/spectct Parathyrd
78075,Adrenal nuclear imaging
78075,Adrenal nuclear
78075,nuclear imaging
78075,nuclear imaging Adrenal
78099,Endocrine nuclear procedure
78099,Endocrine nuclear
78099,nuclear procedure
78099,Endocrine procedure nuclear
78102,Bone marrow imaging ltd
78102,Bone marrow
78102,marrow imaging
78102,imaging ltd
78102,ltd marrow imaging Bone
78103,Bone marrow imaging mult
78103,Bone marrow
78103,marrow imaging
78103,imaging mult
78103,mult imaging marrow Bone
78104,Bone marrow imaging body
78104,Bone marrow
78104,marrow imaging
78104,imaging body
78104,marrow imaging Bone body
78140,Red cell sequestration
78140,Red cell
78140,cell sequestration
78140,Red sequestration cell
78185,Spleen imaging
78195,Lymph system imaging
78195,Lymph system
78195,system imaging
78195,Lymph imaging system
78199,Blood/lymph nuclear exam
78199,Blood/lymph nuclear
78199,nuclear exam
78199,nuclear Blood/lymph exam
78201,Liver imaging
78202,Liver imaging with flow
78202,Liver imaging
78202,imaging with
78202,with flow
78202,with imaging flow Liver
78215,Liver and spleen imaging
78215,Liver and
78215,and spleen
78215,spleen imaging
78216,Liver  spleen image/flow
78216,Liver spleen
78216,spleen image/flow
78216,Liver image/flow spleen
78226,Hepatobiliary system imaging
78226,Hepatobiliary system
78226,system imaging
78226,system imaging Hepatobiliary
78227,Hepatobil syst image w/drug
78227,Hepatobil syst
78227,syst image
78227,image w/drug
78227,syst w/drug Hepatobil image
78230,Salivary gland imaging
78230,Salivary gland
78230,gland imaging
78230,imaging gland Salivary
78231,Serial salivary imaging
78231,Serial salivary
78231,salivary imaging
78231,Serial imaging salivary
78232,Salivary gland function exam
78232,Salivary gland
78232,gland function
78232,function exam
78232,Salivary function gland exam
78258,Esophageal motility study
78258,Esophageal motility
78258,motility study
78258,motility Esophageal study
78261,Gastric mucosa imaging
78261,Gastric mucosa
78261,mucosa imaging
78261,imaging Gastric mucosa
78262,Gastroesophageal reflux exam
78262,Gastroesophageal reflux
78262,reflux exam
78262,exam Gastroesophageal reflux
78264,Gastric emptying study
78264,Gastric emptying
78264,emptying study
78264,Gastric study emptying
78265,Gastric emptying imag study
78265,Gastric emptying
78265,emptying imag
78265,imag study
78265,study emptying imag Gastric
78266,Gastric emptying imag study
78266,Gastric emptying
78266,emptying imag
78266,imag study
78266,study imag emptying Gastric
78278,Acute GI blood loss imaging
78278,Acute GI
78278,GI blood
78278,blood loss
78278,loss imaging
78278,imaging GI Acute blood loss
78282,GI protein loss exam
78282,GI protein
78282,protein loss
78282,loss exam
78282,GI loss protein exam
78290,Meckels divert exam
78290,Meckels divert
78290,divert exam
78290,divert exam Meckels
78291,Leveen/shunt patency exam
78291,Leveen/shunt patency
78291,patency exam
78291,Leveen/shunt exam patency
78299,GI nuclear procedure
78299,GI nuclear
78299,nuclear procedure
78299,procedure nuclear GI
78300,Bone imaging limited area
78300,Bone imaging
78300,imaging limited
78300,limited area
78300,limited imaging Bone area
78305,Bone imaging multiple areas
78305,Bone imaging
78305,imaging multiple
78305,multiple areas
78305,Bone imaging areas multiple
78306,Bone imaging whole body
78306,Bone imaging
78306,imaging whole
78306,whole body
78306,Bone whole imaging body
78315,Bone imaging 3 phase
78315,Bone imaging
78315,imaging 3
78315,3 phase
78315,Bone phase imaging 3
78399,Musculoskeletal nuclear exam
78399,Musculoskeletal nuclear
78399,nuclear exam
78399,Musculoskeletal exam nuclear
78428,Cardiac shunt imaging
78428,Cardiac shunt
78428,shunt imaging
78428,Cardiac imaging shunt
78429,Myocrd img pet 1 std w/ct
78429,Myocrd img
78429,img pet
78429,pet 1
